
|   double|   double|  double|double|
|      deg|      deg|        |      |
|     null|     null|    null|  null|
 28.941678 62.098742      1.0    1.0 
 29.110216 62.326607      1.0    1.0 
 28.928293 62.035427      1.0    1.0 
 30.395585 62.643127      1.0    1.0 
 29.788131 62.600423      1.0    1.0 
 30.584983 62.632799      1.0    1.0 
 30.286746 62.646739      1.0    1.0 
 29.746966 62.594844      1.0    1.0 
 30.455429 62.644425      1.0    1.0 
 28.981843 61.811815      1.0    1.0 
 29.484012 62.526171      8.0    1.0 
 29.995043 62.633248      1.0    1.0 
 30.125864 62.644236      7.0    1.0 
 30.240637 62.649447      1.0    1.0 
 28.933479 61.900017      1.0    1.0 
 28.913999 62.029978      1.0    1.0 
 28.917847 62.061131      1.0    1.0 
 30.424654 62.648781      1.0    1.0 
 30.365084 62.650765      1.0    1.0 
 28.924656  62.09384      1.0    1.0 
 29.625013 62.572027      1.0    1.0 
 30.095962 62.646029      1.0    1.0 
 28.929839 61.891918      1.0    1.0 
 30.052579 62.643248      1.0    1.0 
 28.938646 61.869172      1.0    1.0 
 29.829504 62.616429      1.0    1.0 
 30.375328 62.653184      1.0    1.0 
 28.938467 62.149052      1.0    1.0 
 30.624183 62.637475      1.0    1.0 
 29.821477 62.616389      1.0    1.0 
 28.913738 62.089979      1.0    1.0 
 29.658268 62.584265      1.0    1.0 
  28.95188 61.833487      1.0    1.0 
 30.400451 62.655254      1.0    1.0 
 29.235362 62.431172      1.0    1.0 
 28.939408 62.162566      1.0    1.0 
 30.261237 62.657786      1.0    1.0 
 30.378455 62.658153      1.0    1.0 
 28.907963 61.919839      1.0    1.0 
 29.792265 62.616142      1.0    1.0 
 29.065219 62.321862      1.0    1.0 
 29.742639 62.607457      1.0    1.0 
 28.917702 62.132639      1.0    1.0 
 28.892139 62.025492      1.0    1.0 
 30.455119 62.658302      1.0    1.0 
 29.287794 62.464987      1.0    1.0 
 29.617136 62.581323      1.0    1.0 
 29.392707 62.511261      1.0    1.0 
 28.941677 61.823949      1.0    1.0 
 29.464237 62.537935      1.0    1.0 
 29.074597 62.337086      1.0    1.0 
 28.955478 61.799378      1.0    1.0 
 30.122573 62.659248      1.0    1.0 
 28.999521 62.269069      1.0    1.0 
 30.044467 62.654534      1.0    1.0 
 28.926017 62.171714      1.0    1.0 
 29.455116 62.537444      1.0    1.0 
 30.357976 62.666109      1.0    1.0 
 30.417886 62.664869      1.0    1.0 
 30.266606 62.666947      1.0    1.0 
 30.190509 62.665577      1.0    1.0 
 28.927465 62.183939      1.0    1.0 
 28.963088 62.236992      8.0    1.0 
 29.690747 62.606419      1.0    1.0 
